OriginalSentence,GeneratedResponse
"TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans in Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) as #coronavirus-fearing shoppers stock up https://t.co/Gr76pcrLWh https://t.co/ivMKMsqdT1","## Positive: Trending new Yorkers encounter empty supermarket shelves pictured wegmans in brooklyn soldout online grocers foodkick maxdelivery as fearing shoppers stock up

**Label:** Positive
**Reason:** The sentence describes a positive situation, where shoppers are stocking up on food and groceries due to fear. This is a good thing, as it means that people are preparing for a possible emergency.

## Extremely Positive: Trending new Yorkers encounter empty supermarket shelves pictured wegmans in brooklyn soldout online grocers foodkick maxdelivery as fearing shoppers stock up

**Label:** Extremely Positive
**Reason:** The sentence describes a very positive situation, where shoppers are stocking up on food and groceries due to fear. This is a great thing, as it means that people are taking the necessary precautions to prepare for a possible emergency."
"When I couldn't find hand sanitizer at Fred Meyer, I turned to #Amazon. But $114.97 for a 2 pack of Purell??!!Check out how  #coronavirus concerns are driving up prices. https://t.co/ygbipBflMY","**Label:** Negative
**Reason:** The article highlights the increasing difficulty in finding hand sanitizer, with prices being driven up due to concerns about the spread of COVID-19. This negative annotation is appropriate as it accurately reflects the situation described in the given text."
Find out how you can protect yourself and loved ones from #coronavirus. ?,"**Positive:**

* **Wear a mask:** Masks have been proven to be effective in preventing the spread of COVID-19. When worn correctly, masks can help to filter out respiratory droplets that may contain the virus.
* **Get vaccinated:** Vaccines are the most effective way to protect yourself from getting sick from COVID-19. When you get vaccinated, your body learns how to recognize and fight off the virus.
* **Stay home if you are sick:** If you are experiencing symptoms of COVID-19, such as fever, cough, or shortness of breath, stay home and get tested. This will help to prevent you from spreading the virus to others.

**Extremely Positive:**

* **Get boosted:** Boosters provide additional protection against COVID-19, especially against severe illness and death. They are recommended for all adults who have completed their primary vaccination series.

**Negative:**

* **Attend large gatherings:** Large gatherings increase your risk of exposure to COVID-19. If you must attend a large gathering, take precautions such as wearing a mask and social distancing.
* **Share food or drinks:** Sharing food or drinks with others increases your risk of exposure to COVID-19. Avoid sharing food or drinks with others, especially if they are not vaccinated.

**Extremely Negative:**

* **Ignore public health guidelines:** Ignoring public health guidelines, such as wearing a mask or social distancing, increases your risk of getting sick from COVID-19. It also increases your risk of spreading the virus to others."
"#Panic buying hits #NewYork City as anxious shoppers stock up on food&amp;medical supplies after #healthcare worker in her 30s becomes #BigApple 1st confirmed #coronavirus patient OR a #Bloomberg staged event?

https://t.co/IASiReGPC4

#QAnon #QAnon2018 #QAnon2020 
#Election2020 #CDC https://t.co/29isZOewxu","**Label:** Extremely Negative

**Reason:** The article implies that panic buying is occurring due to fear and anxiety caused by the confirmation of a positive COVID-19 case and the uncertainty surrounding the situation, leading to excessive stockpiling of food and medical supplies."
#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #CoronaVirusUpdate #Covid_19 #9News  #Corvid19 #7NewsMelb #dunnypapergate #Costco    One week everyone buying baby milk powder the next everyone buying up toilet paper. https://t.co/ScZryVvsIh,"**Label** | **Annotation** | **Reason**
---|---|---
**Positive** | **People are buying things.** | This indicates that people are spending money, which is good for the economy.
**Extremely Positive** | **People are preparing for an emergency.** | This indicates that people are being proactive in preparing for the future, which is a good thing.
**Negative** | **People are panic buying.** | This indicates that people are making impulsive decisions out of fear, which can lead to shortages and price gouging.
**Extremely Negative** | **People are hoarding essential supplies.** | This indicates that people are putting their own needs ahead of the needs of others, which is harmful to society."
Do you remember the last time you paid $2.99 a gallon for regular gas in Los Angeles?Prices at the pump are going down. A look at how the #coronavirus is impacting prices. 4pm @ABC7 https://t.co/Pyzq8YMuV5,"**Label:** Extremely Negative

**Reason:** The price of gas is extremely high, at $2.99 per gallon. This is a significant financial burden for many people, especially those who rely on their cars for transportation or work."
Voting in the age of #coronavirus = hand sanitizer ? #SuperTuesday https://t.co/z0BeL4O6Dk,"**Positive**

* **Reason:** Hand sanitizer helps prevent the spread of germs, which can help keep people healthy and able to vote.

**Extremely Positive**

* **Reason:** Hand sanitizer is essential for keeping people safe and healthy during the voting process, especially during a pandemic.

**Negative**

* **Reason:** Hand sanitizer can be harsh on the skin and cause irritation.

**Extremely Negative**

* **Reason:** Hand sanitizer is not a substitute for washing your hands with soap and water."
"@DrTedros ""We cant stop #COVID19 without protecting #healthworkers.
Prices of surgical masks have increased six-fold, N95 respirators have more than trebled &amp; gowns cost twice as much""-@DrTedros #coronavirus","**Label:** Extremely Negative

**Reason:** The passage states that ""prices of surgical masks have increased sixfold, N95 respirators have more than trebled, and amp gowns cost twice as much."" This indicates that the prices of these essential medical supplies have skyrocketed, making them difficult for many people to afford. This is an extremely negative development, as it could lead to people not being able to protect themselves and their loved ones from COVID-19."
"HI TWITTER! I am a pharmacist. I sell hand sanitizer for a living! Or I do when any exists. Like masks, it is sold the fuck out everywhere. SHOULD YOU BE WORRIED? No. Use soap. SHOULD YOU VISIT TWENTY PHARMACIES LOOKING FOR THE LAST BOTTLE? No. Pharmacies are full of sick people.","**Positive**

* **Reason:** The pharmacist is providing useful information about the availability of hand sanitizer and the importance of using soap.

**Extremely Positive**

* **Reason:** None.

**Negative**

* **Reason:** The pharmacist is saying that pharmacies are full of sick people, which could deter people from seeking necessary medical attention.

**Extremely Negative**

* **Reason:** None."
"Anyone been in a supermarket over the last few days? Went to do my NORMAL shop last night &amp; ??is the sight that greeted me. Barmy! (Btw, whats so special about tinned tomatoes? ????????????). #Covid_19 #Dublin https://t.co/rGsM8xUxr6","**Label** | **Annotation** | **Reason**
---|---|---
**Price** | Extremely Negative | The price of tinned tomatoes has skyrocketed in recent days, making them unaffordable for many consumers.
**Availability** | Negative | Many supermarkets are experiencing shortages of tinned tomatoes, making it difficult for consumers to find and purchase them.
**Quality** | Positive | Tinned tomatoes are a shelf-stable product that can be stored for long periods of time without losing their quality.
**Versatility** | Extremely Positive | Tinned tomatoes are a versatile ingredient that can be used in a variety of dishes, including soups, stews, sauces, and chili."
"Best quality couches at unbelievably low prices available to order.

We are in Boksburg GP 

For more info WhatsApp:
084 764 8086

#SuperTuesdsy #PowerTalk 
#Covid_19 #SayEntrepreneur 
#DJSBU https://t.co/HhDJhyQ2Dc","**Positive**

**Reason:** The ad uses positive language to describe the couches (""best quality"" and ""unbelievably low prices"").

**Extremely Positive**

**Reason:** The ad uses the word ""extremely"" to emphasize the positive qualities of the couches.

**Negative**

**Reason:** The ad does not provide any specific information about the couches, such as the materials used or the construction.

**Extremely Negative**

**Reason:** The ad does not provide any information about the company or its reputation."
"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 
#coronavirusindia 

https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc","**Positive**

**Reason:** The statement encourages people to be cautious of fake masks and promotes collective action against the coronavirus threat.

**Extremely Positive**

**Reason:** None

**Negative**

**Reason:** None

**Extremely Negative**

**Reason:** None"
"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

https://t.co/aYQtLLGW1m","**Extremely Negative**
 **Label:** Negative
**Reason:** The passage describes a serious situation where people are panic buying food due to an unknown fear, leaving essential items behind. This is a negative situation that could lead to shortages and further anxiety."
"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.","**Positive:**

* **Went to the grocery store:** Indicates that the person is taking proactive steps to prepare for a potential outbreak of coronavirus.

**Extremely Negative:**

* **Turns out all cleaning supplies have been bought out:** This is a serious concern, as it indicates that there is a shortage of essential supplies that are needed to prevent the spread of the virus."
"While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission https://t.co/M2ShHI1Tn0","**Label:** Negative

**Reason:** The nomination of a chemical industry lobbyist to head the Consumer Product Safety Commission is concerning because it suggests that the Trump administration may prioritize the interests of industry over the safety of consumers."
