text,x,y
"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",13.604955,3.1450758
"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",12.4869175,2.5833795
Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,13.83107,3.5916255
"?80% of #Retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??Check our article???

https://t.co/eobzo0WOUS",14.04153,2.8939686
".@Target taking #coronavirus #COVID19 seriously. Stores are adding hours and staff to clean more rigorously, stopping food samples, bolstering order pick up and drive up, encouraging employees to stay home, adding more stock, and limiting # of items in purchases.

@wsyx6 https://t.co/p1EJDPvnyy",13.905728,2.2543623
"These are some of the suggestions to slow/stop #COVID2019
1. Work remotely from home 
2. Online school/ lectures
 3.Keep updated on the HSE/Dept of Health website 
4. Order shopping online for delivery ALL  NEED BROADBAND #remoteworking #broadband #rural",12.739515,2.954872
"See the new @FujifilmX_US X-T4 and X100V at Roberts! Join us on Saturday March 14th at Roberts Downtown location from 10am to 5pm.

Make sure to stop in and register for a FREE mystery giveaway! https://t.co/KUA79uARxv https://t.co/P6etFT5U7f",13.079844,1.3035572
"Solid advice for seniors, their family members &amp; those of who have #complexhealth care needs.@CDC: Older #Americans should consider stocking up on food, medications &amp; avoid venturing out as #coronavirus spreads https://t.co/yiDKEL9m1a #COVID19Canada #CoronavirusCanada #bcseniors",12.367064,1.8360492
So the govt is trying to boost spending to save the economy but what about the several retail staff I witnessed yesterday - in the one store - continuously coughing over merchandise?? And elsewhere?? #bigW #eastgardens   #Coronavirus #stimulus #auspol,14.028534,1.4571955
One of the BEAUTIFUL things about working at home and having a strictly online small business? Covid-19 isnt transmittable through email. So keep shopping!  https://t.co/qJkUcaWGC2,13.048333,3.1340604
"The #Coronavirus crisis will speed up the technological revolution as schools, health services, shopping and work will go online at an even faster pace than before. See ""The Robots are Coming"": https://t.co/2bKMJcaYa5 
@vintagebooks https://t.co/EjYZ9rabTu",13.298993,4.0390344
"The #Coronavirus crisis will speed up the technological revolution as schools, health services, shopping and work will go online at an even faster pace than before. See ""The Robots are Coming"", Page 234: https://t.co/Yck5Zmfa4j @vintagebooks",13.288254,3.9722629
"#COVID_19 fallout : Are all these ghost flights going to swap cabin payload for cargo payload, as self isolated individuals take to online shopping globally as a pastime while waiting for lockdowns to end ?",13.286939,2.478685
"When the #CPTSD therapist recommends that you go out among people to isolate yourself less and the government then advises you to stay at home, recommend self-isolation, and you then consider to not even go out shopping anymore and instead do that online too ???? #Coronavirus",12.524639,2.3777251
"#CancelEverything is #tending due to #COVID19 #coronavirus, so it looks like shopping online and reading books is in ?? https://t.co/jYrZ5zIhSg",13.3906765,3.395693
"Interesting to see so many businesses telling employees to work from home out of caution... what about those of us who cant? 

What would happen if one of my grocery store coworkers contracted #coronavirus ? Or if an affected customer comes into the store?",12.966618,2.3124533
"#4. CPG and Retail
Major retailers in China like Starbucks, Uniqlo, Nike and #Apple had temporarily shuttered their store
Sellers on Amazon's marketplace are reportedly struggling to bring goods into the country
#Coronavirus infects luxury spending at #LouisVuitton, Ralph Lauren",14.403535,2.5452461
Discover how the #coronavirus is affecting the #retail industry via @Store_Brands https://t.co/vfrcAuHNdd https://t.co/yfC2b0tz04,14.075309,2.6654398
"Since the #coronavirus is now a  #pandemic, I will be online shopping for most of my stuff &amp; limiting how much I go outside. 

All items purchased from us will be in its original packaging &amp; handled w/ gloves.

Be safe, Be blessed ???",13.434522,3.0575144
"#Coronavirus shifts online shopping habits. #eCommerce 

https://t.co/eELVHjauQd https://t.co/wfFkfDCpMq",13.82087,3.4097466
"Home shopping could double if #Coronavirus takes hold in the UK, as consumers switch from buying food and household items in stores to online.  https://t.co/t5teSX87vU  

Is your #business ready to meet this demand? 

Via @PostalTechNews https://t.co/o45h0Jdi8E",13.776069,3.1534534
Guys please stock up while you can. I can confirm that grocery stores are starting to run out of non perishable food and cleaning supplies. Practice safe measures and also make sure to be polite to retail workers because this is a stressful time for them. #coronavirus,13.240672,0.81052786
"Anxiety over the #coronavirus is driving grocery shoppers online, where theyre able to purchase the #CPG items they need without risking exposure to crowds of people. Is this the catalyst that online grocery needed to change deep rooted consumer shopping habits?",13.939356,3.3863525
Its fucked when you can come up with a solid plan in your store  to combat #coronavirus better then the higher ups (rich owners) can. Im curious to know what retail stores are doing to keep employees safe. Ive seen one coffee shop not take cash anymore and another has,13.984737,1.5016463
